,question,generated_question,correct_answer,distractor1,distractor2,distractor3,generated_distractors,support
32,The primary motor cortex is located in which lobe of the brain?,,frontal,Parietal,Temporal lobe,Occipital,,"Primary Motor Cortex The primary motor cortex is located in the precentral gyrus of the frontal lobe. A neurosurgeon, Walter Penfield, described much of the basic understanding of the primary motor cortex by electrically stimulating the surface of the cerebrum. Penfield would probe the surface of the cortex while the patient was only under local anesthesia so that he could observe responses to the stimulation. This led to the belief that the precentral gyrus directly stimulated muscle movement. We now know that the primary motor cortex receives input from several areas that aid in planning movement, and its principle output stimulates spinal cord neurons to stimulate skeletal muscle contraction. The primary motor cortex is arranged in a similar fashion to the primary somatosensory cortex, in that it has a topographical map of the body, creating a motor homunculus (see Figure 14.23). The neurons responsible for musculature in the feet and lower legs are in the medial wall of the precentral gyrus, with the thighs, trunk, and shoulder at the crest of the longitudinal fissure. The hand and face are in the lateral face of the gyrus. Also, the relative space allotted for the different regions is exaggerated in muscles that have greater enervation. The greatest amount of cortical space is given to muscles that perform fine, agile movements, such as the muscles of the fingers and the lower face. The “power muscles” that perform coarser movements, such as the buttock and back muscles, occupy much less space on the motor cortex."
33,"Horny ridges on the jaws serve the same function as what, for turtles?",,teeth,skin,taste buds,hairs,,"Turtles may appear slow and harmless when they are out of the water, but in the water is another story. Turtles can be either herbivores or carnivores, with most sea turtles carnivorous . Turtles have a rigid beak and use their jaws to cut and chew food. Instead of teeth, the upper and lower jaws of the turtle are covered by horny ridges. Carnivorous, or animal-eating turtles usually have knife-sharp ridges for slicing through their prey. But as the turtle is not a very fast animal, and it cannot quickly turn its head to snap at prey, it does have some limitations. Sea turtles typically feed on jellyfish, sponges and other soft-bodied organisms. Some species of sea turtle with stronger jaws eat shellfish, while other species, such as the green sea turtle, do not eat any meat at all. Herbivorous turtles have serrated ridges that help them cut through tough plants."
34,What do you call the study of how organisms interact with their environment and each other?,,ecology,biology,biochemistry,climatology,,"Most biological sciences are specialized areas of study. Biology includes biochemistry, cell biology, microbiology, immunology, genetics, physiology, zoology, ecology, evolutionary biology, and botany. Biochemistry is the study of the chemicals that make up life. Cell biology is the study of life at the level of the cell. Microbiology is the study of microscopic organisms. Immunology is the study of an organism's resistance to disease. Genetics is the study of how organisms pass traits to their offspring. The study of how the human body works is called physiology. Zoology is the study of animals. The study of how organisms interact with their environment and each other is called ecology. Evolutionary biology is the study of how populations and species change over time. Botany is the study of plants. The four unifying principles are important foundations for each and every field of biology. Applied fields of biology such as medicine and genetic research involve many specialized areas of study."
35,The strength of a base depends on the concentration of _______ it produces when dissolved in water?,,hydroxide ions,combustion ions,calcium ions,monoxide ions,,"The strength of a base depends on the concentration of hydroxide ions it produces when dissolved in water. For example, sodium hydroxide completely breaks down into ions in water, so it is a strong base. However, only a fraction of ammonia breaks down into ions, so it is a weak base."
36,"Specific antigens on the surface of red blood cells determine what, which is important in cases of transfusion?",,blood type,blood count,blood amount,blood form,,Specific antigens on the surface of red blood cells determine blood type. The best-known blood types are ABO and Rhesus (Rh) blood types. Blood type is important in cases of blood transfusion. A patient must receive blood of his or her own blood type to avoid clumping of red blood cells.
37,"Exothermic reactions, like all chemical reactions, require what to get started?",,activation energy,surface energy,membrane energy,specific energy,,"All chemical reactions, including exothermic reactions, need activation energy to get started."
38,"Exemplified by sea stars and sand dollars, echinoderms have a calcareous structure developed by pigment cells and made of ossicles, which is called what?",,endoskeleton,hydrostatic skeleton,exoskeleton,thorax,,"Phylum Echinodermata Echinodermata are so named owing to their spiny skin (from the Greek “echinos” meaning “spiny” and “dermos” meaning “skin”), and this phylum is a collection of about 7,000 described living species. Echinodermata are exclusively marine organisms. Sea stars (Figure 28.44), sea cucumbers, sea urchins, sand dollars, and brittle stars are all examples of echinoderms. To date, no freshwater or terrestrial echinoderms are known. Morphology and Anatomy Adult echinoderms exhibit pentaradial symmetry and have a calcareous endoskeleton made of ossicles, although the early larval stages of all echinoderms have bilateral symmetry. The endoskeleton is developed by epidermal cells and may possess pigment cells, giving vivid colors to these animals, as well as cells laden with toxins. Gonads are present in each arm. In echinoderms like sea stars, every arm bears two rows of tube feet on the oral side. These tube feet help in attachment to the substratum. These animals possess a true coelom that is modified into a unique circulatory system called a water vascular system. An interesting feature of these animals is their power to regenerate, even when over 75 percent of their body mass is lost."
39,Each bond includes a sharing of electrons between atoms. two electrons are shared in a single bond; four electrons are shared in a double bond; and six electrons are shared in this?,,triple bond,ionic bond,quadruple bond,magnetic bond,,Each bond includes a sharing of electrons between atoms. Two electrons are shared in a single bond; four electrons are shared in a double bond; and six electrons are shared in a triple bond.
50,,"What type of balance makes very sensitive mass measurements in a laboratory, usually in grams?",,,,,"['mass measurement', 'mass measurement', 'mass measurement']",
437,,What is the head of a drum called?,,,,,"['middle ear', 'ear canal', 'head of drum']",
716,,"What gives the cell an internal structure, like the frame of a house?",,,,,"['filaments', 'tubules', 'cell nuclei']",
834,,"What are the smallest class of elements, containing just six members: boron (b",,,,,"['brittleness', 'shiny properties', 'valence electrons']",
993,,Birds often use flashy displays to what?,,,,,"['to play games', 'to play games', 'to play games']",
944,,What happens to water vapor as it rises from earth’s surface into the atmosphere?,,,,,"['it rises', 'it falls', 'it forms']",
378,,What is the conversion of a solid (relatively high density) to a gas,,,,,"['dilution', 'condensation', 'condensation']",
340,,What creates new seafloor in the rift valleys?,,,,,"['volcanoes', 'islands', 'rift valleys']",
136,,Mushrooms gain their energy from what?,,,,,"['plants', 'plants', 'mushrooms']",
969,,What is the window screen like?,,,,,"['window screen', 'window screen', 'raindrop']",
227,,What is the term for telomere shortening associated with?,,,,,"['cell division', 'cell division', 'cell division']",
83,,What organs filter all the blood in the body many times each day and produce a total of,,,,,"['bone marrow', 'blood', 'hormones']",
490,,What type of machine is a ramp?,,,,,"['a ramp', 'a machine', 'a machine']",
505,,What are small molecules or proteins produced by bacteria that regulate gene expression?,,,,,"['bacteria', 'proteins', 'bacteria']",
242,,What are the preserved remains or traces of organisms that lived in the past?,,,,,"['fossils', 'fossils', 'fossils']",
805,,What is a simple machine that consists of a rope and grooved wheel?,,,,,"['pulley', 'pulley', 'pulley']",
503,,Sponges have specialized cells called what?,,,,,"['sponges', 'sponges', 'sponges']",
599,,What takes place when plants release water vapor through pores in their leaves called stomata,,,,,"['stomata', 'stomata', 'stomata']",
323,,What system works well without causing any problems?,,,,,"['stomach', 'stomachache', 'diarrhea']",
651,,"Inside male cones, male spores develop into male what?",,,,,"['spores', 'ovules', 'cones']",
76,,The lens and other structures of the eye work together to focus a real image on what?,,,,,"['optic nerve', 'optic nerve', 'lens']",
377,,What are the basic units of the structure and function of living things?,,,,,"['organisms', 'organisms', 'living things']",
692,,Waves of light are represented by arrows called what?,,,,,"['incident rays', 'reflected rays', 'incident rays']",
652,,What is the molecule with one carbon and four hydrogen atoms?,,,,,"['carbon', 'hydrogen', 'hydrogen']",
77,,What provides the ability to move or change matter from one state to another?,,,,,"['food', 'water', 'water']",
258,,"When a stream or river slows down, it starts dropping what?",,,,,"['steep areas', 'steep areas', 'steep areas']",
610,,What is the name of the species that inhabits Australia and New Guinea?,,,,,"['platypus', 'echnidna', 'platypus']",
535,,What happens to atmospheric pressure as the altitude increases?,,,,,"['increases', 'increases', 'increases']",
286,,"What are immobile, have cell walls, and grow in soil?",,,,,"['lichens', 'plants', 'lichens']",
23,,What is the most common cause of a fracture in the skeletal system?,,,,,"['cell walls', 'cell walls', 'cell walls']",
30,,What is the most abundant metal?,,,,,"['potassium', 'magnesium', 'iron']",
795,,What is the first stage of photosynthesis called?,,,,,"['photosynthesis', 'chemical energy', 'NADPH and ATP']",
824,,The primary motor cortex is located in the precentral gyrus of the what lobe,,,,,"['lateral', 'medial', 'precentral']",
81,,What do turtles use to cut and chew food?,,,,,"['teeth', 'horns', 'jaws']",
110,,What is the study of how organisms interact with their environment and each other called?,,,,,"['physiology', 'zoology', 'evolution']",
43,,The strength of a base depends on the concentration of what?,,,,,"['ammonia', 'ammonia', 'ammonia']",
975,,Specific antigens on the surface of red blood cells determine what?,,,,,"['red blood cells', 'red blood cells', 'antigen']",
224,,"All chemical reactions, including exothermic reactions, need what to get started?",,,,,"['exothermic reaction', 'chemical reaction', 'chemical reaction']",
291,,Adult echinoderms exhibit pentaradial symmetry and have a calc,,,,,"['ossicles', 'ossicles', 'ossicles']",
330,,What type of bond is shared six electrons in?,,,,,"['double bond', 'single bond', 'double bond']",
